Rock,../Imagenes/GneroImagenes/rock.jpg
Pop,../Imagenes/GneroImagenes/pop.jpeg
Metal,../Imagenes/GneroImagenes/metal.jpg
Electrónica,../Imagenes/GneroImagenes/electronica.png
Blues,../Imagenes/GneroImagenes/blues.jpg
Funk,../Imagenes/GneroImagenes/funk.jpg
HipHop,../Imagenes/GneroImagenes/hiphop.png
Jazz,../Imagenes/GneroImagenes/jazz.jpg
Rap,../Imagenes/GneroImagenes/rap.jpg
Reggae,../Imagenes/GneroImagenes/reggea.jpg
Clásica,../Imagenes/GneroImagenes/clasica.jpg
Dance,../Imagenes/GneroImagenes/dance.jpg
